"ea_id","FNID"
40430010,"UG2011L101"
40430006,"UG2011L101"
40430008,"UG2011L101"
40430008,"UG2011L101"
40430008,"UG2011L101"
40430010,"UG2011L101"
40430012,"UG2011L101"
40830002,"UG2011L101"
40830004,"UG2011L101"
40830004,"UG2011L101"
41130007,"UG2011L101"
4040006,"UG2011L101"
4040008,"UG2011L101"
4040008,"UG2011L101"
4040008,"UG2011L101"
4040010,"UG2011L101"
4040010,"UG2011L101"
4040012,"UG2011L101"
4080002,"UG2011L101"
4080004,"UG2011L101"
4080004,"UG2011L101"
4110007,"UG2011L101"
4040006,"UG2011L101"
4040008,"UG2011L101"
4040010,"UG2011L101"
4040012,"UG2011L101"
4080002,"UG2011L101"
4080004,"UG2011L101"
40230016,"UG2011L102"
41030026,"UG2011L102"
41030038,"UG2011L102"
41110002,"UG2011L102"
41030014,"UG2011L102"
41030017,"UG2011L102"
41030023,"UG2011L102"
40210002,"UG2011L102"
40230007,"UG2011L102"
40230011,"UG2011L102"
40230016,"UG2011L102"
40230016,"UG2011L102"
40230016,"UG2011L102"
40230020,"UG2011L102"
40230025,"UG2011L102"
40230025,"UG2011L102"
40230030,"UG2011L102"
41030029,"UG2011L102"
41030038,"UG2011L102"
41030038,"UG2011L102"
41130004,"UG2011L102"
41130006,"UG2011L102"
41130007,"UG2011L102"
41130009,"UG2011L102"
41230003,"UG2011L102"
41230005,"UG2011L102"
41330005,"UG2011L102"
41030014,"UG2011L102"
4020002,"UG2011L102"
4020007,"UG2011L102"
4020011,"UG2011L102"
4020016,"UG2011L102"
4020016,"UG2011L102"
4020020,"UG2011L102"
4020025,"UG2011L102"
4020025,"UG2011L102"
4020030,"UG2011L102"
4020030,"UG2011L102"
4100026,"UG2011L102"
4100029,"UG2011L102"
4100038,"UG2011L102"
4100038,"UG2011L102"
4100038,"UG2011L102"
4110004,"UG2011L102"
4110006,"UG2011L102"
4110007,"UG2011L102"
4110009,"UG2011L102"
4120003,"UG2011L102"
4120005,"UG2011L102"
4120005,"UG2011L102"
4130005,"UG2011L102"
4170014,"UG2011L102"
4170014,"UG2011L102"
4170017,"UG2011L102"
4180023,"UG2011L102"
4020007,"UG2011L102"
4020011,"UG2011L102"
4020016,"UG2011L102"
4020020,"UG2011L102"
4020025,"UG2011L102"
4020030,"UG2011L102"
4100026,"UG2011L102"
4100029,"UG2011L102"
4100038,"UG2011L102"
4110004,"UG2011L102"
4110006,"UG2011L102"
4110007,"UG2011L102"
4110009,"UG2011L102"
4120003,"UG2011L102"
4120005,"UG2011L102"
4130005,"UG2011L102"
4100014,"UG2011L102"
4100017,"UG2011L102"
4100023,"UG2011L102"
41430003,"UG2011L103"
4140003,"UG2011L103"
4140003,"UG2011L103"
40630008,"UG2011L104"
40630010,"UG2011L104"
40630013,"UG2011L104"
4060008,"UG2011L104"
4060010,"UG2011L104"
4060013,"UG2011L104"
4060008,"UG2011L104"
4060010,"UG2011L104"
4060013,"UG2011L104"
20410002,"UG2011L105"
20630003,"UG2011L105"
20930033,"UG2011L105"
21510001,"UG2011L105"
21530002,"UG2011L105"
21530004,"UG2011L105"
21530002,"UG2011L105"
20930011,"UG2011L105"
20930014,"UG2011L105"
20930018,"UG2011L105"
20930018,"UG2011L105"
20930022,"UG2011L105"
20930026,"UG2011L105"
20930029,"UG2011L105"
31030010,"UG2011L105"
30330024,"UG2011L105"
20930037,"UG2011L105"
30330033,"UG2011L105"
30330033,"UG2011L105"
31010001,"UG2011L105"
31010001,"UG2011L105"
31010001,"UG2011L105"
31010004,"UG2011L105"
31030007,"UG2011L105"
31030007,"UG2011L105"
31030007,"UG2011L105"
31030007,"UG2011L105"
31030008,"UG2011L105"
31030009,"UG2011L105"
31030009,"UG2011L105"
31030010,"UG2011L105"
31030010,"UG2011L105"
30330024,"UG2011L105"
30330024,"UG2011L105"
2040002,"UG2011L105"
2060003,"UG2011L105"
2090033,"UG2011L105"
2150001,"UG2011L105"
2150002,"UG2011L105"
2150004,"UG2011L105"
2230011,"UG2011L105"
2230014,"UG2011L105"
2230018,"UG2011L105"
2230018,"UG2011L105"
2230022,"UG2011L105"
2230026,"UG2011L105"
2230029,"UG2011L105"
3030033,"UG2011L105"
3030033,"UG2011L105"
3100001,"UG2011L105"
3100001,"UG2011L105"
3100004,"UG2011L105"
3100007,"UG2011L105"
3100008,"UG2011L105"
3100009,"UG2011L105"
3100009,"UG2011L105"
3100010,"UG2011L105"
3100010,"UG2011L105"
3100010,"UG2011L105"
3200024,"UG2011L105"
3200024,"UG2011L105"
3200024,"UG2011L105"
2060003,"UG2011L105"
2090033,"UG2011L105"
2150001,"UG2011L105"
2150002,"UG2011L105"
2150004,"UG2011L105"
2090011,"UG2011L105"
2090014,"UG2011L105"
2090018,"UG2011L105"
2090022,"UG2011L105"
2090026,"UG2011L105"
2090029,"UG2011L105"
3030033,"UG2011L105"
3100001,"UG2011L105"
3100008,"UG2011L105"
3100009,"UG2011L105"
10730012,"UG2011L106"
40230030,"UG2011L106"
40130005,"UG2011L106"
